timestamp,node_ip,node_port,latency_ms,lamport,leader,status
2025-11-19T23:41:00.719Z,10.128.0.3,50051,32,55,3,OK
2025-11-19T23:41:00.964Z,10.128.0.3,50051,10,55,3,OK
2025-11-19T23:41:01.187Z,10.128.0.3,50051,13,55,3,OK
2025-11-19T23:41:01.416Z,10.128.0.3,50051,12,55,3,OK
2025-11-19T23:41:01.747Z,10.128.0.3,50051,13,57,3,OK
2025-11-19T23:41:01.977Z,10.128.0.3,50051,13,57,3,OK
2025-11-19T23:41:02.205Z,10.128.0.3,50051,12,57,3,OK
2025-11-19T23:41:02.430Z,10.128.0.3,50051,11,57,3,OK
2025-11-19T23:41:02.653Z,10.128.0.3,50051,10,57,3,OK
2025-11-19T23:41:02.982Z,10.128.0.3,50051,12,59,3,OK
2025-11-19T23:41:03.208Z,10.128.0.3,50051,14,59,3,OK
2025-11-19T23:41:03.437Z,10.128.0.3,50051,12,59,3,OK
2025-11-19T23:41:03.664Z,10.128.0.3,50051,13,59,3,OK
2025-11-19T23:41:03.893Z,10.128.0.3,50051,12,59,3,OK
2025-11-19T23:41:04.225Z,10.128.0.3,50051,15,61,3,OK
2025-11-19T23:41:04.456Z,10.128.0.3,50051,13,61,3,OK
2025-11-19T23:41:04.685Z,10.128.0.3,50051,14,61,3,OK
2025-11-19T23:41:04.916Z,10.128.0.3,50051,14,61,3,OK
2025-11-19T23:41:05.145Z,10.128.0.3,50051,12,61,3,OK
2025-11-19T23:41:05.476Z,10.128.0.3,50051,11,63,3,OK
2025-11-19T23:41:05.701Z,10.128.0.3,50051,12,63,3,OK
2025-11-19T23:41:05.930Z,10.128.0.3,50051,11,63,3,OK
2025-11-19T23:41:06.154Z,10.128.0.3,50051,11,63,3,OK
2025-11-19T23:41:06.379Z,10.128.0.3,50051,15,63,3,OK
2025-11-19T23:41:06.713Z,10.128.0.3,50051,13,65,3,OK
2025-11-19T23:41:06.941Z,10.128.0.3,50051,12,65,3,OK
2025-11-19T23:41:07.169Z,10.128.0.3,50051,12,65,3,OK
2025-11-19T23:41:07.398Z,10.128.0.3,50051,12,65,3,OK
2025-11-19T23:41:07.623Z,10.128.0.3,50051,12,65,3,OK
2025-11-19T23:41:07.956Z,10.128.0.3,50051,11,67,3,OK
2025-11-19T23:41:08.181Z,10.128.0.3,50051,12,67,3,OK
2025-11-19T23:41:08.406Z,10.128.0.3,50051,15,67,3,OK
2025-11-19T23:41:08.636Z,10.128.0.3,50051,15,67,3,OK
2025-11-19T23:41:08.866Z,10.128.0.3,50051,14,67,3,OK
2025-11-19T23:41:09.203Z,10.128.0.3,50051,17,69,3,OK
2025-11-19T23:41:09.437Z,10.128.0.3,50051,13,69,3,OK
2025-11-19T23:41:09.667Z,10.128.0.3,50051,13,69,3,OK
2025-11-19T23:41:09.897Z,10.128.0.3,50051,13,69,3,OK
2025-11-19T23:41:10.125Z,10.128.0.3,50051,13,69,3,OK
2025-11-19T23:41:10.961Z,10.128.0.3,50051,11,71,1,OK
2025-11-19T23:41:11.195Z,10.142.0.2,50052,122,72,1,OK
2025-11-19T23:41:11.532Z,10.142.0.2,50052,124,72,1,OK
2025-11-19T23:41:11.872Z,10.142.0.2,50052,112,72,1,OK
2025-11-19T23:41:12.200Z,10.142.0.2,50052,120,72,1,OK
2025-11-19T23:41:12.641Z,10.142.0.2,50052,115,74,1,OK
2025-11-19T23:41:12.974Z,10.142.0.2,50052,114,74,1,OK
2025-11-19T23:41:13.305Z,10.142.0.2,50052,119,74,1,OK
2025-11-19T23:41:13.639Z,10.142.0.2,50052,109,74,1,OK
2025-11-19T23:41:13.961Z,10.142.0.2,50052,118,74,1,OK
2025-11-19T23:41:14.396Z,10.142.0.2,50052,117,76,1,OK
2025-11-19T23:41:14.726Z,10.142.0.2,50052,117,76,1,OK
2025-11-19T23:41:15.056Z,10.142.0.2,50052,111,76,1,OK
2025-11-19T23:41:15.381Z,10.142.0.2,50052,117,76,1,OK
2025-11-19T23:41:15.713Z,10.142.0.2,50052,115,76,1,OK
2025-11-19T23:41:16.150Z,10.142.0.2,50052,120,78,1,OK
2025-11-19T23:41:16.485Z,10.142.0.2,50052,121,78,1,OK
2025-11-19T23:41:16.822Z,10.142.0.2,50052,118,78,1,OK
2025-11-19T23:41:17.157Z,10.142.0.2,50052,124,78,1,OK
2025-11-19T23:41:17.496Z,10.142.0.2,50052,119,78,1,OK
2025-11-19T23:41:17.932Z,10.142.0.2,50052,115,80,1,OK
2025-11-19T23:41:18.261Z,10.142.0.2,50052,117,80,1,OK
2025-11-19T23:41:18.592Z,10.142.0.2,50052,119,80,1,OK
2025-11-19T23:41:18.926Z,10.142.0.2,50052,119,80,1,OK
2025-11-19T23:41:19.262Z,10.142.0.2,50052,112,80,1,OK
2025-11-19T23:41:19.694Z,10.142.0.2,50052,119,82,1,OK
2025-11-19T23:41:20.030Z,10.142.0.2,50052,120,82,1,OK
2025-11-19T23:41:20.365Z,10.142.0.2,50052,124,82,1,OK
2025-11-19T23:41:20.705Z,10.142.0.2,50052,119,82,1,OK
2025-11-19T23:41:21.040Z,10.142.0.2,50052,118,82,1,OK
2025-11-19T23:41:21.478Z,10.142.0.2,50052,119,84,1,OK
